135,134,215,134,215,168,135,168,THÁNG
314,135,354,135,354,153,314,153,NIÊN
395,139,427,139,427,157,395,157,TẬP
476,162,516,162,516,180,476,180,NƯỚC
468,140,516,140,516,160,468,160,LUYỆN
253,137,309,137,309,151,253,151,THANH
442,160,472,160,472,178,442,178,ĐẤT
221,141,243,141,243,169,221,169,9:
300,158,360,158,360,178,300,178,NGHIỆP
365,162,403,162,403,180,365,180,CNH,
359,140,391,140,391,156,359,156,HỌC
274,158,298,158,298,178,274,178,SỰ
432,139,462,139,462,155,432,155,RÈN
408,163,440,163,440,177,408,177,HĐH:
253,156,269,156,269,174,253,174,VÌ
467,139,516,141,517,161,467,159,LUYỆN
253,135,311,136,311,154,253,153,THANH
274,156,299,157,299,179,274,179,SỰ
253,155,271,156,271,176,253,175,VÌ
394,137,428,137,429,159,395,158,TẬP,
406,161,440,161,440,179,407,179,HĐH
300,158,361,158,361,181,300,180,NGHIỆP
443,159,473,159,473,180,443,180,ĐẤT
365,160,403,161,403,181,365,181,CNH,
358,137,391,138,392,157,358,157,HỌC
432,137,464,139,464,157,432,157,RÈN
221,139,243,140,243,172,221,171,9:
135,132,215,134,215,171,134,169,THÁNG
313,135,355,136,355,155,313,154,NIÊN
475,161,518,161,518,182,475,182,NƯỚC
