686,116,840,116,840,208,686,208
562,112,676,112,676,196,562,196
851,118,983,118,983,194,851,194
317,11,473,11,473,65,317,65
1005,10,1079,10,1079,66,1005,66
847,6,931,6,931,60,847,60
132,115,300,115,300,205,132,205
450,451,630,451,630,521,450,521
396,120,554,120,554,200,396,200
992,117,1134,117,1134,193,992,193
706,6,838,6,838,56,706,56
554,5,642,5,642,55,554,55
479,6,547,6,547,56,479,56
179,4,245,4,245,58,179,58
938,8,1000,8,1000,58,938,58
312,119,384,119,384,199,312,199
252,4,308,4,308,58,252,58
637,443,855,443,855,515,637,515
649,13,699,13,699,55,649,55
