238,9,336,9,336,67,238,67
132,273,240,273,240,295,132,295
237,70,363,70,363,140,237,140
156,28,230,28,230,76,156,76
287,207,349,207,349,241,287,241
284,244,298,244,298,268,284,268
125,86,235,86,235,146,125,146
135,237,189,237,189,265,135,265
200,196,264,196,264,222,200,222
197,144,283,144,283,184,197,184
137,204,197,204,197,226,137,226
302,241,362,241,362,269,302,269
194,236,258,236,258,258,194,258
120,248,132,248,132,256,120,256
122,215,134,215,134,223,122,223
117,283,129,283,129,291,117,291
0,268,4,268,4,274,0,274
