357,10,403,10,403,26,357,26
523,9,551,9,551,27,523,27
291,9,327,9,327,27,291,27
473,11,499,11,499,29,473,29
610,9,646,9,646,27,610,27
554,11,584,11,584,29,554,29
892,6,928,6,928,24,892,24
445,13,471,13,471,29,445,29
502,10,520,10,520,26,502,26
586,12,608,12,608,30,586,30
329,10,355,10,355,26,329,26
408,12,440,12,440,26,408,26
712,8,740,8,740,26,712,26
873,8,893,8,893,26,873,26
768,9,784,9,784,25,768,25
687,12,711,12,711,28,687,28
671,14,677,14,677,26,671,26
786,11,830,11,830,25,786,25
741,10,767,10,767,26,741,26
649,12,657,12,657,26,649,26
680,13,686,13,686,27,680,27
831,10,863,10,863,26,831,26
