18,173,80,173,80,203,18,203
149,183,221,183,221,213,149,213
86,173,148,173,148,209,86,209
18,209,138,209,138,255,18,255
147,218,325,218,325,262,147,262
267,187,323,187,323,219,267,219
225,183,265,183,265,215,225,215
373,204,391,204,391,222,373,222
390,209,414,209,414,231,390,231
237,267,267,267,267,289,237,289
171,266,203,266,203,286,171,286
94,263,118,263,118,283,94,283
357,221,433,221,433,277,357,277
204,267,234,267,234,285,204,285
121,264,145,264,145,282,121,282
148,266,168,266,168,282,148,282
591,249,607,249,607,259,591,259
595,261,605,261,605,269,595,269
