122,143,188,143,188,181,122,181
193,154,241,154,241,184,193,184
218,190,276,190,276,226,218,226
95,175,161,175,161,217,95,217
167,184,213,184,213,220,167,220
281,191,313,191,313,225,281,225
74,233,114,233,114,247,74,247
23,141,81,141,81,179,23,179
185,238,211,238,211,252,185,252
87,142,117,142,117,176,87,176
138,236,162,236,162,250,138,250
167,238,183,238,183,250,167,250
230,241,256,241,256,255,230,255
115,235,135,235,135,247,115,247
214,240,228,240,228,252,214,252
53,232,71,232,71,244,53,244
323,245,351,245,351,259,323,259
23,230,43,230,43,242,23,242
302,245,322,245,322,257,302,257
265,242,299,242,299,256,265,256
