1039,327,1135,327,1135,385,1039,385
472,305,520,305,520,365,472,365
156,303,206,303,206,361,156,361
640,86,994,86,994,244,640,244
668,306,718,306,718,370,668,370
525,306,623,306,623,378,525,378
88,312,150,312,150,360,88,360
208,315,240,315,240,369,208,369
982,323,1034,323,1034,375,982,375
1145,329,1197,329,1197,379,1145,379
245,312,347,312,347,372,245,372
340,25,606,25,606,235,340,235
351,315,463,315,463,369,351,369
724,313,818,313,818,373,724,373
861,322,903,322,903,372,861,372
819,323,857,323,857,379,819,379
908,311,976,311,976,375,908,375
1206,331,1268,331,1268,391,1206,391
629,316,659,316,659,370,629,370
