812,116,892,116,892,158,812,158
382,116,436,116,436,154,382,154
255,116,303,116,303,150,255,150
307,111,343,111,343,149,307,149
440,115,490,115,490,155,440,155
761,116,805,116,805,154,761,154
494,116,552,116,552,150,494,150
557,116,621,116,621,154,557,154
426,23,550,23,550,75,426,75
689,117,757,117,757,157,689,157
900,117,942,117,942,151,900,151
347,116,375,116,375,154,347,154
628,117,682,117,682,151,628,151
951,116,1015,116,1015,156,951,156
1021,118,1061,118,1061,152,1021,152
555,22,893,22,893,76,555,76
