183,117,213,117,213,143,183,143
82,92,108,92,108,114,82,114
26,92,76,92,76,114,26,114
60,121,138,121,138,143,60,143
194,98,246,98,246,116,194,116
126,97,176,97,176,115,126,115
199,151,227,151,227,161,199,161
142,121,178,121,178,143,142,143
151,69,197,69,197,89,151,89
62,151,90,151,90,161,62,161
230,151,244,151,244,161,230,161
82,73,142,73,142,93,82,93
93,152,121,152,121,162,93,162
163,149,177,149,177,161,163,161
141,151,159,151,159,161,141,161
22,153,38,153,38,161,22,161
41,153,61,153,61,161,41,161
185,153,197,153,197,161,185,161
130,153,138,153,138,161,130,161
