95,26,121,26,121,42,95,42
162,27,198,27,198,43,162,43
270,26,298,26,298,44,270,44
53,25,91,25,91,43,53,43
125,26,157,26,157,42,125,42
301,26,317,26,317,44,301,44
181,54,211,54,211,66,181,66
202,28,226,28,226,42,202,42
230,30,242,30,242,46,230,46
321,29,339,29,339,45,321,45
247,52,287,52,287,66,247,66
103,49,137,49,137,65,103,65
40,43,66,43,66,63,40,63
347,50,369,50,369,68,347,68
214,50,244,50,244,66,214,66
292,54,324,54,324,66,292,66
69,46,99,46,99,64,69,64
246,30,268,30,268,46,246,46
141,50,179,50,179,66,141,66
18,43,36,43,36,63,18,63
327,52,345,52,345,66,327,66
