136,131,214,131,214,169,136,169
314,135,354,135,354,153,314,153
222,141,244,141,244,171,222,171
475,162,517,162,517,180,475,180
366,162,404,162,404,180,366,180
359,140,391,140,391,156,359,156
395,138,427,138,427,158,395,158
432,139,464,139,464,155,432,155
253,136,309,136,309,152,253,152
468,140,516,140,516,160,468,160
442,160,472,160,472,180,442,180
253,156,271,156,271,174,253,174
274,158,298,158,298,178,274,178
408,163,440,163,440,177,408,177
300,158,360,158,360,180,300,180
605,117,617,117,617,127,605,127
