172,150,212,150,212,160,172,160
197,165,243,165,243,175,197,175
204,134,230,134,230,146,204,146
162,164,194,164,194,174,162,174
165,119,179,119,179,129,165,129
198,103,222,103,222,113,198,113
154,147,168,147,168,159,154,159
182,118,208,118,208,130,182,130
178,103,194,103,194,113,178,113
200,181,224,181,224,191,200,191
181,181,197,181,197,191,181,191
176,134,202,134,202,144,176,144
211,119,241,119,241,129,211,129
215,150,253,150,253,160,215,160
224,101,252,101,252,113,224,113
156,237,250,237,250,247,156,247
157,103,173,103,173,115,157,115
