407,130,533,127,534,183,407,187,KHU
651,175,900,174,900,270,651,274,BÌNH
466,320,500,319,500,370,466,371,C
547,114,715,113,716,177,547,181,CÔNG
920,154,1291,144,1290,261,920,271,PHƯỚC
749,311,779,310,779,362,749,363,3
728,102,964,100,962,173,728,175,NGHIỆP
94,206,572,198,571,277,93,292,BECAMEX
466,301,631,298,632,369,467,372,CỔNG
591,222,629,222,629,249,591,249,-
660,300,756,301,755,366,660,366,SỐ
465,318,501,318,501,370,465,370,C
745,307,783,307,783,363,745,363,3
504,296,632,296,632,372,504,372,ỔNG
658,299,738,299,738,367,658,367,SỐ
401,121,537,121,537,187,401,187,KHU
548,108,718,108,718,184,548,184,CÔNG
726,97,964,97,964,177,726,177,NGHIỆP
651,172,903,172,903,274,651,274,BÌNH
927,149,1295,149,1295,267,927,267,PHƯỚC
97,198,567,198,567,286,97,286,BECAMEX
