352,281,442,281,439,355,353,355,THẦY
259,290,345,289,346,353,259,354,KÍNH
471,281,553,279,553,351,472,352,MẾN
560,298,634,294,635,361,560,364,BẠN
513,386,573,385,574,424,513,425,LIKE
261,388,384,387,385,427,261,429,TEACHER
386,388,508,386,509,425,387,427,GLASSES
577,384,634,384,633,424,579,423,YOU
576,382,636,382,636,430,576,430,YOU
512,382,574,382,574,430,512,430,LIKE
386,383,510,383,510,435,386,435,GLASSES
259,386,385,386,385,436,259,436,TEACHER
255,284,347,284,347,360,255,360,KÍNH
559,291,639,291,639,363,559,363,BẠN
351,277,447,277,447,359,351,359,THẦY
467,277,555,277,555,357,467,357,MẾN
