30,234,144,234,144,324,30,324,HOT
212,276,286,276,286,336,212,336,SỮA
190,140,434,140,434,286,190,286,COLD
442,221,574,221,574,293,442,293,QUE
324,236,436,236,436,316,324,316,XIÊN
141,293,207,293,207,349,141,349,TRÀ
139,215,187,215,187,299,139,299,&
290,276,324,276,324,322,290,322,&
144,305,207,293,209,339,144,350,TRẢ
213,286,279,273,287,324,214,336,SỮA
326,261,435,237,437,297,327,315,XIÊN
440,242,572,221,579,271,447,290,QUE
47,220,431,137,425,252,27,328,hovecolo
291,277,322,277,322,319,291,321,&
