213,150,253,150,253,160,213,160,TRÁNH
162,164,194,164,194,174,162,174,CHĂN
203,133,229,133,229,145,203,145,HIỆU
171,150,211,150,211,160,171,160,PHÒNG
182,119,208,119,208,131,182,131,BIỆN
198,102,222,102,222,114,198,114,BẢO
211,119,241,119,241,129,211,129,PHÁP
176,134,200,134,200,144,176,144,HỮU
196,165,244,165,244,175,196,175,THƯƠNG
199,180,225,180,225,192,199,192,NÃO
182,181,198,181,198,191,182,191,SÓ
224,102,252,102,252,114,224,114,HIỂM
154,147,168,147,168,159,154,159,ĐỂ
154,237,212,237,212,247,154,247,TECHCOM
178,102,194,102,194,114,178,114,MŨ
165,119,179,119,179,129,165,129,LÀ
214,237,250,237,250,249,214,249,BANK
157,103,173,103,173,115,157,115,ĐỘ
110,159,134,159,134,169,110,169,LƯƠNG
172,148,212,148,212,161,172,160,PHÒNG
197,101,222,101,222,114,197,114,BẢO
164,118,178,118,180,130,165,131,LÀ
214,148,254,149,254,161,214,161,TRÁNH
175,133,201,133,201,145,175,145,HỮU
153,146,170,147,170,161,153,160,ĐỂ
156,103,175,103,175,115,156,115,ĐỘI
203,133,230,133,230,147,203,146,HIỆU
180,180,198,180,198,192,180,192,SỌ
242,104,253,104,253,114,242,114,M
176,102,194,102,194,114,176,114,MŨ
181,118,209,118,209,130,181,130,BIỆN
200,179,225,179,225,192,200,192,NÃO
197,164,244,164,244,176,197,176,THƯƠNG
224,101,244,101,244,114,224,114,HIỂM
211,118,242,118,242,129,211,130,PHÁP
162,163,194,163,194,176,162,176,CHẤN
153,235,251,236,252,250,153,249,TECHCOMBANK
